Release 14.7 - par P.20131013 (nt64)
Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

Mon Sep 14 00:52:31 2020


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       large_multiplier_wrapper_map.ncd
OUTPUT FILE:      large_multiplier_wrapper_pad.txt
PART TYPE:        xc6vlx75t
SPEED GRADE:      -3
PACKAGE:          ff784

Pinout by Pin Number:

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name|Pin Usage|Pin Name                  |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|V2        |           |OPAD     |MGTTXN0_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|V3        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|V4        |           |         |MGTAVCC                   |         |           |              |          |         |           |         |         |          |           |                |
|V5        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|V6        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|V7        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|V8        |           |         |VCCAUX                    |         |           |              |          |         |           |         |2.5      |          |           |                |
|V9        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|V10       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|V11       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|V12       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|V13       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|V14       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|V15       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|V16       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|V17       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|V18       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|V19       |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|V20       |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|V21       |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|V22       |           |         |VCCO_14                   |         |           |14            |          |         |           |         |2.50     |          |           |                |
|V23       |outp<117>  |IOB      |IO_L11P_SRCC_14           |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|V24       |outp<127>  |IOB      |IO_L16P_14                |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|V25       |outp<102>  |IOB      |IO_L3N_14                 |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|V26       |outp<104>  |IOB      |IO_L4N_VREF_14            |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|V27       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|V28       |outp<99>   |IOB      |IO_L2P_14                 |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|W1        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|W2        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|W3        |           |IPAD     |MGTREFCLK1N_114           |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|W4        |           |IPAD     |MGTREFCLK1P_114           |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|W5        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|W6        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|W7        |           |         |VCCO_0                    |         |           |0             |          |         |           |         |any******|          |           |                |
|W8        |in0<47>    |IOB      |IO_L0P_35                 |INPUT    |LVCMOS25*  |35            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|W9        |           |         |VCCO_35                   |         |           |35            |          |         |           |         |2.50     |          |           |                |
|W10       |           |IOBS     |IO_L8N_SRCC_35            |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|W11       |in0<60>    |IOB      |IO_L8P_SRCC_35            |INPUT    |LVCMOS25*  |35            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|W12       |outp<69>   |IOB      |IO_L2P_A15_D31_34         |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|W13       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|W14       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|W15       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|W16       |outp<91>   |IOB      |IO_L18P_A17_34            |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|W17       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|W18       |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|W19       |           |         |VCCO_23                   |         |           |23            |          |         |           |         |any******|          |           |                |
|W20       |           |         |VCCAUX                    |         |           |              |          |         |           |         |2.5      |          |           |                |
|W21       |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|W22       |outp<122>  |IOB      |IO_L13N_14                |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|W23       |outp<114>  |IOB      |IO_L9N_MRCC_14            |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|W24       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|W25       |outp<101>  |IOB      |IO_L3P_14                 |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|W26       |outp<103>  |IOB      |IO_L4P_14                 |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|W27       |outp<107>  |IOB      |IO_L6P_14                 |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|W28       |outp<106>  |IOB      |IO_L5N_14                 |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|Y1        |           |OPAD     |MGTTXP3_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|Y2        |           |OPAD     |MGTTXN3_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|Y3        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|Y4        |           |         |MGTAVCC                   |         |           |              |          |         |           |         |         |          |           |                |
|Y5        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|Y6        |           |         |TMS_0                     |         |           |              |          |         |           |         |         |          |           |                |
|Y7        |           |         |TDO_0                     |         |           |              |          |         |           |         |         |          |           |                |
|Y8        |           |         |VCCO_0                    |         |           |0             |          |         |           |         |any******|          |           |                |
|Y9        |in0<48>    |IOB      |IO_L0N_35                 |INPUT    |LVCMOS25*  |35            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|Y10       |in0<49>    |IOB      |IO_L1P_35                 |INPUT    |LVCMOS25*  |35            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|Y11       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|Y12       |outp<65>   |IOB      |IO_L2N_A14_D30_34         |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|Y13       |outp<71>   |IOB      |IO_L8P_SRCC_34            |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|Y14       |outp<88>   |IOB      |IO_L16N_A20_34            |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|Y15       |outp<92>   |IOB      |IO_L18N_A16_34            |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|Y16       |           |         |VCCO_34                   |         |           |34            |          |         |           |         |2.50     |          |           |                |
|Y17       |outp<93>   |IOB      |IO_L19P_VRN_34            |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|Y18       |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|Y19       |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|Y20       |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|Y21       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|Y22       |outp<121>  |IOB      |IO_L13P_14                |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|Y23       |outp<113>  |IOB      |IO_L9P_MRCC_14            |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|Y24       |outp<110>  |IOB      |IO_L7N_14                 |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|Y25       |outp<109>  |IOB      |IO_L7P_14                 |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|Y26       |           |         |VCCO_14                   |         |           |14            |          |         |           |         |2.50     |          |           |                |
|Y27       |outp<108>  |IOB      |IO_L6N_14                 |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|Y28       |outp<105>  |IOB      |IO_L5P_14                 |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+

* Default value.
** This default Pullup/Pulldown value can be overridden in Bitgen. 
All RSVD_0 pins must be tied to GROUND.
****** Special VCCO requirements may apply. Please consult the device 
       family datasheet for specific guideline on VCCO requirements. 


